Hue,Saturation,Value,Contrast,Energy,Edge_Ratio,Shape_Area,Shape_Perimeter,Circularity,Class
74.82975,33.0465,67.14255,1279.0374371859295,0.013012116230992885,0.29865,287.0,434.2152895927429,0.019128527393171498,Basil
69.96445,36.749375,73.3665,1272.1950502512564,0.07588615023693641,0.335975,602.5,1986.1576254367828,0.0019192850978110893,Basil
67.1161,34.930475,74.261825,636.569623115578,0.09068059364542826,0.3154,1509.5,2941.1912368535995,0.002192787034776134,Basil
82.74125,32.831825,87.9481,690.6706783919599,0.022131663916512057,0.247675,136.0,345.8477590084076,0.014288243424285868,Basil
50.447075,21.25255,155.221225,1071.3922613065329,0.03047260171144345,0.1286,174.5,669.310743689537,0.00489496626083494,Basil
65.94275,41.381125,129.14515,918.3792211055278,0.1125855468228501,0.22845,1466.0,2520.0714000463486,0.002900802380014404,Basil
92.3949,65.41345,25.68745,154.72178391959798,0.026682240034984192,0.1481,81.0,100.08326017856598,0.10161831634858227,Basil
96.60535,62.588625,39.393825,365.6587939698493,0.017781117859105088,0.304275,475.0,299.7056245803833,0.06645286151798782,Basil
19.291875,11.5385,216.1377,694.9829648241207,0.7854869775651575,0.07305,101.5,429.688379406929,0.006908260231496352,Basil
85.278225,59.834225,71.597825,1198.1785929648245,0.056890772524943685,0.34895,1739.0,3205.5659071207047,0.0021266696097881808,Basil
34.8907,31.64125,108.806925,995.8635175879397,0.020135177378068005,0.270075,510.5,1568.3687407970428,0.002608010015564083,Basil
12.350575,27.43105,161.3095,1212.7292462311557,0.3908734324896703,0.223675,2978.5,4373.861494064331,0.0019564890247624586,Basil
108.11375,41.509775,109.144025,1233.9922361809045,0.009819541016416525,0.304375,2445.5,4071.847213745117,0.0018535085069065495,Basil
18.74105,13.915925,184.2173,762.5323618090453,0.475747461851766,0.150125,569.5,1379.633679151535,0.0037598975992640658,Basil
116.4775,28.751975,66.615025,639.560351758794,0.010967329488217664,0.31705,651.0,1136.4305810928345,0.006334393352387979,Basil
73.5345,22.9167,151.8968,650.6625879396985,0.031778501733005546,0.108175,94.0,606.2985508441925,0.0032133990223894363,Basil
19.137725,31.2125,181.342,1273.3906532663318,0.4867688908710896,0.146525,160.5,678.565576672554,0.004380273740870446,Basil
31.770275,46.2297,76.109025,1011.9636934673368,0.010600692784336844,0.3211,644.5,717.7371491193771,0.01572178797564493,Basil
15.023,35.31705,132.1361,1363.8903266331663,0.23240478054604657,0.246575,613.5,1724.5108748674393,0.00259234355270997,Basil
31.563325,22.5696,163.105675,313.7553266331658,0.45074835678784314,0.1808,3963.5,7191.305477142334,0.0009631041444984111,Basil
24.707125,10.5654,117.67445,850.8980653266333,0.22377492594542803,0.219575,416.0,618.9259672164917,0.013646641622641347,Basil
17.8199,47.182175,97.265825,763.0919346733667,0.04246918338139311,0.30525,1227.5,2236.0642594099045,0.003085054245351778,Basil
35.484325,9.572875,80.14785,1262.4005527638194,0.010892575605805947,0.37005,897.5,1807.5058242082596,0.0034521122627528167,Basil
7.080975,15.985025,213.731325,566.5978140703518,0.7135793077587119,0.0958,508.0,1699.2387984991074,0.0022108778308059123,Basil
43.152025,27.04715,95.669325,318.2092462311559,0.11003947481713029,0.220975,177.0,519.1858528852463,0.008251586000106262,Basil
18.068325,53.854925,78.2377,447.537663316583,0.011866281160076465,0.282275,600.0,406.75944674015045,0.04557071246396995,Basil
48.67685,16.332325,149.4638,687.0804020100503,0.027834286071753554,0.14265,295.0,1311.9351941347122,0.0021538086394244154,Basil
